id,product_id,spec_name,spec_value
096d5b83-e830-4ffa-93a4-536b387a7106,25c5817e-0ebc-4453-8043-e2a09311a439,Processor,AMD Ryzen 5 6600H
8e9fae46-77a3-4c3d-ba61-8cc4307daaf7,25c5817e-0ebc-4453-8043-e2a09311a439,Graphics Card,NVIDIA GeForce RTX 3050 Ti
26ed4e55-131c-443b-ab3a-60a54ea5b234,25c5817e-0ebc-4453-8043-e2a09311a439,RAM,16GB
50cbb46e-c83e-4f37-956d-bafa139dd509,25c5817e-0ebc-4453-8043-e2a09311a439,Storage,1TB SSD
7594d68a-30ed-4d91-aea6-741681bca5b2,25c5817e-0ebc-4453-8043-e2a09311a439,Operating System,Windows 11 Home
a279c29d-64aa-433d-92d5-8ef4fc78f8e2,ff0d7c90-0a79-4499-b421-557868210c70,Processor,AMD Ryzen 7 5800H
e04291bc-441f-4dff-8370-e89210fc3133,ff0d7c90-0a79-4499-b421-557868210c70,Graphics Card,NVIDIA GeForce RTX 3050
dc136a6f-b4bf-4e77-8b61-97b3c865a00e,ff0d7c90-0a79-4499-b421-557868210c70,RAM,16GB
b01ebb56-9114-4298-b9d0-f598c6d76e6f,ff0d7c90-0a79-4499-b421-557868210c70,Storage,1TB SSD
7ca9258b-655c-492a-9a1f-f8da243ecb82,ff0d7c90-0a79-4499-b421-557868210c70,Operating System,Windows 11 Home
aa7c40f4-3870-450a-bb7e-5c17c0c24343,ff0d7c90-0a79-4499-b421-557868210c70,Display,"15.6"" FHD IPS"
179df50e-18d2-41e1-b323-8cd8b80fa5bb,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Processor,AMD Ryzen 5 5600H
415345ed-db55-42e8-a6cb-720d8d17926a,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Graphics Card,NVIDIA GeForce GTX 1650
8fa2490d-1974-4518-bce8-ce026ed6f598,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,RAM,16GB
7a6e8b1e-914f-4cf8-bcfa-e7ed7164c11e,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Storage,1TB SSD
95481cf7-eb82-4808-bc5a-817965b35c03,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Operating System,Windows 11 Home
f77b05f7-44ee-4b3d-861d-99305d527658,f7e56a0f-58dc-4f52-b51a-34758bc3e0da,Display,"15.6"" FHD 144Hz"
034a1f0c-e6ca-4f31-be34-828b7660fd97,3accf654-5157-4c4b-b659-c669ab026e4f,Processor,Intel Core i5-12500H
aed63daf-4fab-4392-a5c4-28fd8ec176de,3accf654-5157-4c4b-b659-c669ab026e4f,Graphics Card,NVIDIA GeForce RTX 3050 Ti
8b652852-a58b-4b2e-b3d7-073284dc1c79,3accf654-5157-4c4b-b659-c669ab026e4f,RAM,16GB
422b04d5-24a4-4880-82af-1250adedf63d,3accf654-5157-4c4b-b659-c669ab026e4f,Storage,1TB SSD
